422
Thu  .  11:45:19  .  2015-08-13  .    .  /OU=Domain Control Validated/CN=svn.company.net[gradle-release] prepare for next development iteration
Thu  .  12:56:59  .  2015-08-13  .    .  JimmyString update
Thu  .  13:24:34  .  2015-08-13  .    .  /OU=Domain Control Validated/CN=svn.company.net[gradle-release] prepare for next development iteration
Thu  .  14:11:18  .  2015-08-13  .    .  NickyPHONE-536,App does not open for Android M - Beta
Thu  .  14:59:27  .  2015-08-13  .    .  /OU=Domain Control Validated/CN=svn.company.net[gradle-release] prepare for next development iteration
Fri  .  09:38:08  .  2015-08-14  .    .  JimmyNormalising code
Fri  .  12:44:07  .  2015-08-14  .    .  JimmyModified code
Fri  .  13:17:45  .  2015-08-14  .    .  JimmyPHONE-591
Fri  .  13:54:38  .  2015-08-14  .    .  JimmyPHONE-879 - Added internal preference flag
Mon  .  13:36:03  .  2015-08-17  .    .  ThomasPHONE-807: Phone 2.0 - Repeat option in the Music Player is not working as expected
"Mon  .  16:22:32  .  2015-08-17  .    .  ThomasPHONE-725: Phone 2.0 - ""Upload paused. Roaming detected."" Notification is not displayed on device notification tray when we download any content when user is in roaming data and WiFi is off."
Wed  .  10:36:15  .  2015-08-19  .    .  ThomasMerged: JIODINT-1329 --Push Not Received After and hour even though the device is registered with,PHONE-854: CLONE - Push Notification are not Recieved Next Day
Wed  .  10:46:16  .  2015-08-19  .    .  ThomasMerged: JIODINT-1329 --Push Not Received After and hour even though the device is registered with,PHONE-854: CLONE - Push Notification are not Recieved Next Day
Wed  .  10:47:31  .  2015-08-19  .    .  ThomasFixed: libpng warning: iCCP: Not recognizing known sRGB profile that has been edited
Wed  .  15:30:13  .  2015-08-19  .    .  ThomasPHONE-879: Phone 2.0 - First Time User Login Flow Every Time
Wed  .  16:54:40  .  2015-08-19  .    .  ThomasPHONE-957: Phone - About Screen Copyright
"Thu  .  09:32:45  .  2015-08-20  .    .  ThomasPHONE-916: Phone 2.0 - ""Get Start"" Button string is not clear - HTC desire 610."
"Thu  .  09:42:08  .  2015-08-20  .    .  ThomasPHONE-726: Phone 2.0 - Message displayed on tapping of ""Locker Backup Paused Roaming detected..."" notification is not as expected."
"Thu  .  11:49:01  .  2015-08-20  .    .  ThomasPHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud"""
Thu  .  12:05:30  .  2015-08-20  .    .  ThomasPHONE-812: CLONE - Phone - Handset - Phone Icon on What to Back up screen
